epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,964.66,0.811,1.52487,0.81954,1.14998,0.63868,0.58633,0.63184,0.41858,0.65039,0.59894,0.63935,0.37137,1.18939,2.14456,1.32159,1.31397,0.0008516,0.0008516,0.0008516
31,997.173,0.80103,1.51419,0.79292,1.13867,0.62294,0.62439,0.66467,0.41802,0.64316,0.6439,0.66351,0.40459,1.24871,2.0287,1.29589,1.34505,0.000812,0.000812,0.000812
32,1028.84,0.79891,1.4801,0.78895,1.13127,0.655,0.63902,0.65224,0.4267,0.74305,0.57837,0.66567,0.40439,1.2028,1.93897,1.27692,1.34754,0.0007724,0.0007724,0.0007724
33,1060.48,0.78899,1.40535,0.7713,1.13986,0.67538,0.57848,0.64577,0.4181,0.65769,0.60488,0.65271,0.38692,1.20544,1.96162,1.29469,1.31478,0.0007328,0.0007328,0.0007328
34,1092.44,0.77662,1.43971,0.75984,1.12601,0.72252,0.59024,0.65369,0.43602,0.73538,0.61463,0.67465,0.40213,1.18582,1.99952,1.22086,1.31998,0.0006932,0.0006932,0.0006932
35,1123.87,0.77047,1.43852,0.74177,1.1171,0.72805,0.57463,0.67406,0.44791,0.74996,0.58049,0.69227,0.41375,1.18812,1.98584,1.2349,1.30636,0.0006536,0.0006536,0.0006536
36,1156.08,0.75509,1.3818,0.74256,1.1088,0.62227,0.61879,0.6348,0.41472,0.63693,0.61463,0.62816,0.38844,1.21623,2.05768,1.30157,1.38306,0.000614,0.000614,0.000614
37,1188.86,0.74839,1.41023,0.71458,1.11079,0.63623,0.65366,0.65942,0.4426,0.65893,0.64878,0.6778,0.41724,1.16418,1.94111,1.21819,1.28417,0.0005744,0.0005744,0.0005744
38,1220.63,0.7321,1.38596,0.69519,1.10089,0.69895,0.58537,0.66413,0.44273,0.69313,0.58049,0.664,0.40764,1.16694,2.06409,1.24184,1.33372,0.0005348,0.0005348,0.0005348
39,1252.33,0.73261,1.33508,0.68855,1.10551,0.68915,0.62927,0.68768,0.453,0.6247,0.6439,0.66601,0.41089,1.1134,2.06645,1.18139,1.28395,0.0004952,0.0004952,0.0004952
40,1284.13,0.72318,1.35286,0.68243,1.0864,0.72473,0.62932,0.70087,0.46481,0.71912,0.62444,0.6936,0.43375,1.11557,1.93378,1.20916,1.24939,0.0004556,0.0004556,0.0004556
41,1317.29,0.79381,1.43723,0.86175,1.19211,0.70953,0.57197,0.66507,0.42734,0.73445,0.55315,0.66151,0.39376,1.18598,2.21468,1.2735,1.31833,0.000416,0.000416,0.000416
42,1346.22,0.7507,1.31772,0.74405,1.16577,0.73152,0.64878,0.71368,0.46909,0.71989,0.63937,0.69992,0.42531,1.15528,2.16032,1.19638,1.30664,0.0003764,0.0003764,0.0003764
43,1374.9,0.73719,1.51837,0.76537,1.15169,0.76972,0.56585,0.68436,0.4539,0.69501,0.58915,0.6699,0.41445,1.14883,2.0792,1.22796,1.27361,0.0003368,0.0003368,0.0003368
44,1403.35,0.73657,1.29035,0.68132,1.13274,0.69499,0.66692,0.69599,0.47072,0.69138,0.66829,0.67928,0.42202,1.12087,1.93336,1.18911,1.26603,0.0002972,0.0002972,0.0002972
45,1431.69,0.70843,1.25319,0.67946,1.13391,0.68052,0.6878,0.71828,0.49064,0.74122,0.6439,0.717,0.45357,1.1179,1.96722,1.1587,1.24794,0.0002576,0.0002576,0.0002576
46,1460.38,0.67957,1.22837,0.83314,1.09643,0.72897,0.66912,0.72346,0.4909,0.74573,0.6581,0.71765,0.45384,1.09615,1.99472,1.14411,1.24917,0.000218,0.000218,0.000218
47,1489.59,0.68779,1.23654,0.63809,1.10903,0.77031,0.60976,0.70267,0.48176,0.76754,0.60976,0.69867,0.44447,1.11192,1.94195,1.19867,1.25112,0.0001784,0.0001784,0.0001784
48,1517.76,0.6706,1.20591,0.61866,1.10353,0.75486,0.66094,0.71433,0.48788,0.74929,0.65607,0.7045,0.44592,1.096,1.96513,1.17267,1.26774,0.0001388,0.0001388,0.0001388
49,1547.27,0.67279,1.25845,0.61605,1.09591,0.77371,0.61712,0.70269,0.47939,0.76159,0.60772,0.68693,0.43724,1.09051,1.97908,1.18431,1.23747,9.92e-05,9.92e-05,9.92e-05
50,1576.13,0.63919,1.15921,0.82565,1.07129,0.78119,0.60955,0.71652,0.49411,0.77494,0.60467,0.70886,0.45079,1.08868,2.00428,1.16052,1.24127,5.96e-05,5.96e-05,5.96e-05
